GeneID	GeneSymbol
10010	TANK
10048	RANBP9
1015	CDH17
10180	RBM6
10181	RBM5
10206	TRIM13
10210	TOPORS
10217	CTDSPL
10253	SPRY2
1027	CDKN1B
10277	UBE4B
1030	CDKN2B
10301	DLEU1
10335	MRVI1
1036	CDO1
10370	CITED2
10399	GNB2L1
10413	YAP1
10424	PGRMC2
10472	ZBTB18
1050	CEBPA
10524	KAT5
10550	ARL6IP5
10628	TXNIP
10641	NPRL2
10768	AHCYL1
10769	PLK2
10771	ZMYND11
10788	IQGAP2
1080	CFTR
10912	GADD45G
11068	CYB561D2
11080	DNAJB4
11095	ADAMTS8
11107	PRDM5
11122	PTPRT
11145	PLA2G16
11178	LZTS1
11197	WIF1
11334	TUSC2
11337	GABARAP
114907	FBXO32
116135	LRRC3B
116173	CMTM5
1191	CLU
122953	JDP2
123879	DCUN1D3
1264	CNN1
127700	OSCP1
1316	KLF6
1326	MAP3K8
134111	UBE2QL1
135138	PACRG
137075	CLDN23
137970	UNC5D
139285	AMER1
146691	TOM1L2
1473	CST5
148252	DIRAS1
1490	CTGF
1496	CTNNA2
1500	CTNND1
151742	PPM1L
152573	SHISA3
1528	CYB5A
1540	CYLD
1602	DACH1
160492	LMNTD1
160728	SLC5A8
1620	BRINP1
1634	DCN
1654	DDX3X
1672	DEFB1
167465	ZNF366
171024	SYNPO2
1739	DLG1
1755	DMBT1
1756	DMD
1801	DPH1
1843	DUSP1
1847	DUSP5
185	AGTR1
1910	EDNRB
1915	EEF1A1
1946	EFNA5
1958	EGR1
1959	EGR2
1969	EPHA2
199731	CADM4
2012	EMP1
2013	EMP2
201501	ZBTB7C
2035	EPB41
2041	EPHA1
2051	EPHB6
2064	ERBB2
2066	ERBB4
2070	EYA4
2099	ESR1
2103	ESRRB
2134	EXTL1
2145	EZH1
2170	FABP3
220296	HEPACAM
2262	GPC5
2271	FH
2272	FHIT
2273	FHL1
22807	IKZF2
22925	PLA2R1
22933	SIRT2
2296	FOXC1
23032	USP33
2308	FOXO1
23087	TRIM35
2309	FOXO3
23095	KIF1B
23136	EPB41L3
23189	KANK1
2322	FLT3
23239	PHLPP1
23300	ATMIN
23328	SASH1
23336	SYNM
23365	ARHGEF12
23376	UFL1
23405	DICER1
23409	SIRT4
23411	SIRT1
23513	SCRIB
23582	CCNDBP1
23604	DAPK2
23635	SSBP2
23671	TMEFF2
23705	CADM1
2395	FXN
246	ALOX15
247	ALOX15B
253559	CADM2
257218	SHPRH
25833	POU2F3
25898	RCHY1
25930	PTPN23
26018	LRIG1
26257	NKX2-8
26260	FBXO25
26298	EHF
26471	NUPR1
26512	INTS6
26524	LATS2
26959	HBP1
27086	FOXP1
27129	HSPB7
27165	GLS2
2719	GPC3
27232	GNMT
27250	PDCD4
27303	RBMS3
27330	RPS6KA6
274	BIN1
2779	GNAT1
283120	H19
