GeneID	GeneSymbol
10010	TANK
1002	CDH4
10077	TSPAN32
1015	CDH17
10152	ABI2
10154	PLXNC1
10206	TRIM13
10210	TOPORS
10217	CTDSPL
10253	SPRY2
1026	CDKN1A
1027	CDKN1B
1028	CDKN1C
1030	CDKN2B
10301	DLEU1
10335	MRVI1
1036	CDO1
10395	DLC1
10413	YAP1
10524	KAT5
10550	ARL6IP5
10553	HTATIP2
10562	OLFM4
10628	TXNIP
10637	LEFTY1
10664	CTCF
10768	AHCYL1
10769	PLK2
10771	ZMYND11
1080	CFTR
10904	BLCAP
10950	BTG3
11010	GLIPR1
1105	CHD1
11074	TRIM31
11080	DNAJB4
11095	ADAMTS8
11107	PRDM5
11108	PRDM4
11178	LZTS1
11191	PTENP1
11197	WIF1
11228	RASSF8
112399	EGLN3
112464	PRKCDBP
1147	CHUK
114757	CYGB
114826	SMYD4
114907	FBXO32
115426	UHRF2
115761	ARL11
116071	BATF2
116135	LRRC3B
116173	CMTM5
117153	MIA2
117581	TWIST2
1191	CLU
121227	LRIG3
122953	JDP2
123879	DCUN1D3
1264	CNN1
130399	ACVR1C
1316	KLF6
1326	MAP3K8
134111	UBE2QL1
135138	PACRG
137970	UNC5D
1387	CREBBP
1390	CREM
139285	AMER1
140628	GATA5
140690	CTCFL
141	ADPRH
144165	PRICKLE1
1474	CST6
1490	CTGF
149628	PYHIN1
1500	CTNND1
150094	SIK1
151742	PPM1L
153090	DAB2IP
1540	CYLD
159989	CCDC67
1602	DACH1
160728	SLC5A8
1620	BRINP1
1630	DCC
1634	DCN
1643	DDB2
164656	TMPRSS6
1647	GADD45A
1654	DDX3X
1672	DEFB1
167465	ZNF366
1676	DFFA
1687	DFNA5
170692	ADAMTS18
171024	SYNPO2
1739	DLG1
1755	DMBT1
1756	DMD
1796	DOK1
1803	DPP4
1825	DSC3
1843	DUSP1
1847	DUSP5
1848	DUSP6
1910	EDNRB
1946	EFNA5
1958	EGR1
196	AHR
196528	ARID2
1969	EPHA2
2012	EMP1
2013	EMP2
201501	ZBTB7C
2034	EPAS1
2042	EPHA3
2048	EPHB2
2050	EPHB4
2051	EPHB6
2066	ERBB4
2070	EYA4
2077	ERF
2099	ESR1
2114	ETS2
2120	ETV6
2131	EXT1
2134	EXTL1
2135	EXTL2
2137	EXTL3
2145	EZH1
2170	FABP3
2192	FBLN1
219285	SAMD9L
219333	USP12
219699	UNC5B
220296	HEPACAM
222235	FBXL13
2273	FHL1
22806	IKZF3
22807	IKZF2
22943	DKK1
22954	TRIM32
2296	FOXC1
23035	PHLPP2
23036	ZNF292
23047	PDS5B
2308	FOXO1
23087	TRIM35
231	AKR1B1
23136	EPB41L3
23152	CIC
2316	FLNA
23189	KANK1
23221	RHOBTB2
23261	CAMTA1
23300	ATMIN
23336	SYNM
23347	SMCHD1
23365	ARHGEF12
23376	UFL1
23411	SIRT1
23468	CBX5
23512	SUZ12
23582	CCNDBP1
23612	PHLDA3
23635	SSBP2
2395	FXN
2444	FRK
253738	EBF3
257218	SHPRH
25833	POU2F3
2587	GALR1
26038	CHD5
26136	TES
2619	GAS1
26298	EHF
2633	GBP1
26512	INTS6
26524	LATS2
26959	HBP1
2697	GJA1
27030	MLH3
27122	DKK3
27129	HSPB7
27165	GLS2
27250	PDCD4
27303	RBMS3
27330	RPS6KA6
274	BIN1
283120	H19
283349	RASSF3
285671	RNF180
286826	LIN9
2878	GPX3
2903	GRIN2A
29072	SETD2
29108	PYCARD
29119	CTNNA3
2934	GSN
2950	GSTP1
29959	NRBP1
301	ANXA1
30845	EHD3
3090	HIC1
3091	HIF1A
310	ANXA7
3164	NR4A1
317	APAF1
3170	FOXA2
324	APC
3337	DNAJB1
338442	HCAR2
3394	IRF8
339967	TMPRSS11A
3400	ID4
3428	IFI16
3479	IGF1
3486	IGFBP3
3487	IGFBP4
3488	IGFBP5
3490	IGFBP7
355	FAS
3579	CXCR2
3611	ILK
3663	IRF5
3678	ITGA5
3679	ITGA7
3685	ITGAV
3688	ITGB1
3690	ITGB3
3732	CD82
374654	KIF7
387	RHOA
387496	RASL11A
388	RHOB
3880	KRT19
390	RND3
3963	LGALS7
3977	LIFR
3996	LLGL1
4013	VWA5A
401494	HACD4
4033	LRMP
4045	LSAMP
4057	LTF
406	ARNTL
4087	SMAD2
4089	SMAD4
4118	MAL
4149	MAX
4163	MCC
43	ACHE
4303	FOXO4
4311	MME
445	ASS1
4486	MST1R
4494	MT1F
4495	MT1G
4499	MT1M
4507	MTAP
