GeneID	GeneSymbol
10018	BCL2L11
10180	RBM6
10181	RBM5
1021	CDK6
10210	TOPORS
10217	CTDSPL
1027	CDKN1B
10277	UBE4B
1028	CDKN1C
10320	IKZF1
1036	CDO1
10370	CITED2
10397	NDRG1
10432	RBM14
10472	ZBTB18
1050	CEBPA
10524	KAT5
10553	HTATIP2
10562	OLFM4
10612	TRIM3
10628	TXNIP
10637	LEFTY1
10664	CTCF
10771	ZMYND11
10788	IQGAP2
10912	GADD45G
11010	GLIPR1
11080	DNAJB4
11083	DIDO1
11107	PRDM5
11108	PRDM4
11122	PTPRT
11186	RASSF1
11191	PTENP1
11219	TREX2
11228	RASSF8
11315	PARK7
1147	CHUK
114826	SMYD4
115426	UHRF2
116173	CMTM5
117581	TWIST2
121227	LRIG3
122953	JDP2
1264	CNN1
127700	OSCP1
1316	KLF6
1326	MAP3K8
135138	PACRG
137075	CLDN23
137970	UNC5D
1387	CREBBP
1390	CREM
139285	AMER1
141	ADPRH
146691	TOM1L2
1490	CTGF
1496	CTNNA2
149628	PYHIN1
1500	CTNND1
151742	PPM1L
1523	CUX1
152573	SHISA3
1528	CYB5A
1540	CYLD
159989	CCDC67
1601	DAB2
160492	LMNTD1
160728	SLC5A8
1612	DAPK1
1634	DCN
1647	GADD45A
1654	DDX3X
1676	DFFA
1687	DFNA5
171023	ASXL1
171024	SYNPO2
1739	DLG1
1789	DNMT3B
1843	DUSP1
185	AGTR1
1946	EFNA5
1958	EGR1
1959	EGR2
196528	ARID2
201163	FLCN
2012	EMP1
2034	EPAS1
2035	EPB41
2041	EPHA1
2042	EPHA3
2048	EPHB2
2051	EPHB6
2066	ERBB4
2070	EYA4
2100	ESR2
2131	EXT1
2135	EXTL2
2192	FBLN1
219333	USP12
2195	FAT1
220296	HEPACAM
222235	FBXL13
222236	NAPEPLD
2271	FH
2272	FHIT
2273	FHL1
22925	PLA2R1
23032	USP33
23035	PHLPP2
23036	ZNF292
23047	PDS5B
2308	FOXO1
2309	FOXO3
23136	EPB41L3
23189	KANK1
23193	GANAB
2322	FLT3
23239	PHLPP1
23300	ATMIN
23328	SASH1
23336	SYNM
23347	SMCHD1
23376	UFL1
23405	DICER1
23409	SIRT4
23411	SIRT1
23468	CBX5
23512	SUZ12
23560	GTPBP4
23671	TMEFF2
2395	FXN
2444	FRK
246	ALOX15
253559	CADM2
253738	EBF3
254394	MCM9
257218	SHPRH
25898	RCHY1
26018	LRIG1
26047	CNTNAP2
26136	TES
2619	GAS1
2626	GATA4
26260	FBXO25
2633	GBP1
26471	NUPR1
26512	INTS6
26524	LATS2
26585	GREM1
26608	TBL2
26959	HBP1
2697	GJA1
27022	FOXD3
27030	MLH3
27086	FOXP1
27129	HSPB7
27132	CPNE7
2719	GPC3
27232	GNMT
27250	PDCD4
27303	RBMS3
27330	RPS6KA6
2735	GLI1
274	BIN1
27429	HTRA2
283120	H19
283518	KCNRG
284406	ZFP82
285671	RNF180
286319	TUSC1
286826	LIN9
2878	GPX3
29072	SETD2
29119	CTNNA3
2984	GUCY2C
29914	UBIAD1
29948	OSGIN1
30845	EHD3
3090	HIC1
3164	NR4A1
317	APAF1
3170	FOXA2
324	APC
3248	HPGD
3337	DNAJB1
3394	IRF8
3400	ID4
347252	IGFBPL1
3479	IGF1
3490	IGFBP7
3621	ING1
374654	KIF7
378708	APITD1
383	ARG1
387496	RASL11A
388	RHOB
3977	LIFR
401494	HACD4
4033	LRMP
4045	LSAMP
4057	LTF
4087	SMAD2
4089	SMAD4
4144	MAT2A
4216	MAP3K4
429	ASCL1
4292	MLH1
43	ACHE
4303	FOXO4
4311	MME
4494	MT1F
4495	MT1G
4499	MT1M
4502	MT2A
4601	MXI1
4616	GADD45B
463	ZFHX3
467	ATF3
4683	NBN
472	ATM
4763	NF1
4772	NFATC1
4773	NFATC2
4790	NFKB1
4824	NKX3-1
4826	NNAT
4849	CNOT3
4856	NOV
4899	NRF1
4920	ROR2
4921	DDR2
4928	NUP98
5037	PEBP1
5048	PAFAH1B1
5071	PARK2
5079	PAX5
5080	PAX6
5101	PCDH9
51247	PAIP2
51339	DACT1
51343	FZR1
5157	PDGFRL
51696	HECA
51720	UIMC1
51741	WWOX
5178	PEG3
5196	PF4
5310	PKD1
5316	PKNOX1
5320	PLA2G2A
5325	PLAGL1
53353	LRP1B
5337	PLD1
5411	PNN
54206	ERRFI1
545	ATR
54556	ING3
54583	EGLN1
5465	PPARA
5468	PPARG
54778	RNF111
54790	TET2
54802	TRIT1
54904	WHSC1L1
5494	PPM1A
54971	BANP
54979	HRASLS2
54984	PINX1
55124	PIWIL2
5515	PPP2CA
5516	PPP2CB
55164	SHQ1
5519	PPP2R1B
55193	PBRM1
5522	PPP2R2C
55233	MOB1A
55259	CASC1
5527	PPP2R5C
5533	PPP3CC
55591	VEZT
5562	PRKAA1
5563	PRKAA2
55630	SLC39A4
55717	WDR11
55735	DNAJC11
55748	CNDP2
55749	CCAR1
55799	CACNA2D3
5581	PRKCE
55818	KDM3A
55840	EAF2
5602	MAPK10
5629	PROX1
563	AZGP1
56475	RPRM
56849	TCEAL7
56925	LXN
56940	DUSP22
56981	PRDM11
56998	CTNNBIP1
57142	RTN4
57167	SALL4
5727	PTCH1
5728	PTEN
5729	PTGDR
57447	NDRG2
57531	HACE1
57575	PCDH10
57586	SYT13
57599	WDR48
57659	ZBTB4
5770	PTPN1
57727	NCOA5
57758	SCUBE2
5781	PTPN11
5783	PTPN13
57863	CADM3
5788	PTPRC
5789	PTPRD
5795	PTPRJ
58189	WFDC1
58508	KMT2C
5889	RAD51C
5909	RAP1GAP
5915	RARB
59269	HIVEP3
5927	KDM5A
5933	RBL1
5934	RBL2
5936	RBM4
60561	RINT1
6091	ROBO1
6117	RPA1
6294	SAFB
6297	SALL2
63035	BCORL1
634	CEACAM1
638	BIK
6387	CXCL12
6389	SDHA
6392	SDHD
6422	SFRP1
6423	SFRP2
6424	SFRP4
6425	SFRP5
644943	RASSF10
64651	CSRNP1
64682	ANAPC1
64753	CCDC136
6477	SIAH1
650	BMP2
65009	NDRG4
6502	SKP2
652	BMP4
65268	WNK2
657	BMPR1A
6595	SMARCA2
6596	HLTF
65979	PHACTR4
665	BNIP3L
6665	SOX15
6711	SPTBN1
672	BRCA1
6767	ST13
678	ZFP36L2
6850	SYK
6876	TAGLN
6898	TAT
6910	TBX5
6924	TCEB3
6925	TCF4
6934	TCF7L2
6997	TDGF1
7020	TFAP2A
7044	LEFTY2
7048	TGFBR2
7049	TGFBR3
7056	THBD
7067	THRA
7068	THRB
7071	KLF10
7078	TIMP3
7128	TNFAIP3
7182	NR2C2
7184	HSP90B1
7248	TSC1
7270	TTF1
7290	HIRA
7345	UCHL1
7403	KDM6A
7405	UVRAG
7422	VEGFA
7428	VHL
7447	VSNL1
7481	WNT11
7538	ZFP36
7704	ZBTB16
7739	ZNF185
7799	PRDM2
7832	BTG2
7869	SEMA3B
78986	DUSP26
79026	AHNAK
7941	PLA2G7
79577	CDC73
79633	FAT4
79648	MCPH1
7965	AIMP2
79798	ARMC5
7982	ST7
80012	PHC3
80013	FAM188A
8013	NR4A3
8031	NCOA4
80319	CXXC4
8065	CUL5
8100	IFT88
