GeneID	GeneSymbol
10010	TANK
10019	SH2B3
1002	CDH4
1003	CDH5
10077	TSPAN32
1009	CDH11
1012	CDH13
10152	ABI2
10154	PLXNC1
10180	RBM6
10181	RBM5
10206	TRIM13
10210	TOPORS
10217	CTDSPL
10253	SPRY2
1026	CDKN1A
1027	CDKN1B
1028	CDKN1C
1030	CDKN2B
10320	IKZF1
10335	MRVI1
1036	CDO1
10370	CITED2
10395	DLC1
104	ADARB1
10413	YAP1
10424	PGRMC2
10472	ZBTB18
1050	CEBPA
1052	CEBPD
10524	KAT5
10550	ARL6IP5
10612	TRIM3
10628	TXNIP
10633	RASL10A
10637	LEFTY1
10768	AHCYL1
10769	PLK2
10771	ZMYND11
10788	IQGAP2
1080	CFTR
10912	GADD45G
10950	BTG3
11010	GLIPR1
1105	CHD1
11068	CYB561D2
11080	DNAJB4
11095	ADAMTS8
11107	PRDM5
11122	PTPRT
11145	PLA2G16
11184	MAP4K1
11186	RASSF1
11191	PTENP1
11197	WIF1
11228	RASSF8
112464	PRKCDBP
11334	TUSC2
11337	GABARAP
1147	CHUK
114757	CYGB
114826	SMYD4
115761	ARL11
116071	BATF2
116135	LRRC3B
116173	CMTM5
117153	MIA2
117581	TWIST2
1191	CLU
122953	JDP2
123879	DCUN1D3
123920	CMTM3
1264	CNN1
127700	OSCP1
1316	KLF6
1326	MAP3K8
135138	PACRG
137075	CLDN23
137970	UNC5D
1387	CREBBP
1390	CREM
140628	GATA5
141	ADPRH
1437	CSF2
144165	PRICKLE1
146691	TOM1L2
1473	CST5
1474	CST6
1490	CTGF
149628	PYHIN1
150094	SIK1
1523	CUX1
152573	SHISA3
1528	CYB5A
153090	DAB2IP
1540	CYLD
1601	DAB2
1602	DACH1
160492	LMNTD1
160728	SLC5A8
1612	DAPK1
1613	DAPK3
1620	BRINP1
1630	DCC
1634	DCN
164656	TMPRSS6
1654	DDX3X
167465	ZNF366
171023	ASXL1
171024	SYNPO2
1755	DMBT1
1756	DMD
1796	DOK1
1803	DPP4
1843	DUSP1
1848	DUSP6
185	AGTR1
1910	EDNRB
1915	EEF1A1
1946	EFNA5
1958	EGR1
1959	EGR2
196	AHR
199	AIF1
200504	GKN2
201163	FLCN
2012	EMP1
2013	EMP2
2034	EPAS1
2035	EPB41
2042	EPHA3
2064	ERBB2
2066	ERBB4
207	AKT1
2070	EYA4
2099	ESR1
2114	ETS2
2134	EXTL1
2135	EXTL2
2145	EZH1
2170	FABP3
2192	FBLN1
219285	SAMD9L
219333	USP12
219699	UNC5B
2203	FBP1
222235	FBXL13
222236	NAPEPLD
2262	GPC5
2272	FHIT
2273	FHL1
22806	IKZF3
22882	ZHX2
22933	SIRT2
23032	USP33
23035	PHLPP2
23047	PDS5B
2308	FOXO1
23087	TRIM35
2309	FOXO3
23095	KIF1B
23136	EPB41L3
2316	FLNA
23189	KANK1
2322	FLT3
23221	RHOBTB2
23261	CAMTA1
23327	NEDD4L
23328	SASH1
23336	SYNM
23365	ARHGEF12
23409	SIRT4
23410	SIRT3
23411	SIRT1
23582	CCNDBP1
23586	DDX58
23604	DAPK2
23635	SSBP2
23671	TMEFF2
23705	CADM1
246	ALOX15
247	ALOX15B
249	ALPL
253559	CADM2
255877	BCL6B
25898	RCHY1
259230	SGMS1
25930	PTPN23
26018	LRIG1
26038	CHD5
26136	TES
2619	GAS1
26257	NKX2-8
26260	FBXO25
2633	GBP1
26468	LHX6
26471	NUPR1
26524	LATS2
26959	HBP1
27075	TSPAN13
27086	FOXP1
27122	DKK3
27129	HSPB7
2719	GPC3
27232	GNMT
27253	PCDH17
27303	RBMS3
27330	RPS6KA6
274	BIN1
283349	RASSF3
283518	KCNRG
284406	ZFP82
285671	RNF180
286319	TUSC1
2878	GPX3
28996	HIPK2
2903	GRIN2A
29072	SETD2
29108	PYCARD
2934	GSN
2952	GSTT1
29997	GLTSCR2
301	ANXA1
3090	HIC1
3096	HIVEP1
3164	NR4A1
317	APAF1
3170	FOXA2
3172	HNF4A
324	APC
3248	HPGD
338442	HCAR2
3394	IRF8
3400	ID4
3479	IGF1
3482	IGF2R
3483	IGFALS
3487	IGFBP4
3490	IGFBP7
355	FAS
3579	CXCR2
3611	ILK
3622	ING2
3659	IRF1
3662	IRF4
3678	ITGA5
3679	ITGA7
3688	ITGB1
3690	ITGB3
3732	CD82
373863	DND1
3814	KISS1
383	ARG1
387	RHOA
387496	RASL11A
388	RHOB
3977	LIFR
4013	VWA5A
401494	HACD4
4033	LRMP
4045	LSAMP
4089	SMAD4
4118	MAL
4144	MAT2A
4292	MLH1
43	ACHE
4303	FOXO4
4311	MME
4486	MST1R
4499	MT1M
4502	MT2A
4616	GADD45B
4627	MYH9
463	ZFHX3
4640	MYO1A
467	ATF3
4692	NDN
472	ATM
4734	NEDD4
4772	NFATC1
4773	NFATC2
4790	NFKB1
4814	NINJ1
4824	NKX3-1
4826	NNAT
4851	NOTCH1
4853	NOTCH2
4856	NOV
4899	NRF1
4916	NTRK3
4921	DDR2
5037	PEBP1
5048	PAFAH1B1
50486	G0S2
5071	PARK2
5098	PCDHGC3
5101	PCDH9
51100	SH3GLB1
51177	PLEKHO1
51196	PLCE1
51201	ZDHHC2
51247	PAIP2
51339	DACT1
51364	ZMYND10
51473	DCDC2
51523	CXXC5
51696	HECA
